                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0804,                 1.7608,                 2.0413,                0.57354,                0.69065,                 0.6548,                 0.2599,                 1.9559,                 1.7347,                 2.1534,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.0993,                 1.7214,                 2.0604,                 0.6405,                0.67626,                0.73752,                0.27859,                 1.9542,                 1.6783,                 2.1947,               0.000614,               0.000614,               0.000614
                     37,                 2.0716,                 1.7461,                 2.1132,                0.60372,                0.79856,                0.73124,                0.27869,                 1.9237,                 1.6727,                 2.1813,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.0764,                 1.6268,                 2.0055,                0.58407,                0.71942,                0.67762,                0.25282,                 1.9641,                 1.7027,                 2.1771,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.1646,                 1.6708,                 2.0989,                0.57157,                 0.7554,                0.69721,                0.25952,                 1.9876,                 1.6589,                 2.1825,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.1064,                 1.6544,                 2.0605,                0.70645,                0.58868,                 0.7092,                0.29241,                 1.9265,                 1.7044,                 2.1529,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.9537,                 1.9217,                 2.1302,                0.59696,                 0.6259,                0.67358,                0.28328,                 1.9426,                 1.7099,                 2.1688,               0.000416,               0.000416,               0.000416
                     42,                 1.9767,                 1.7938,                 2.1034,                0.53876,                0.70504,                0.66972,                0.26837,                 1.9149,                 1.6774,                 2.1411,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.933,                 1.7843,                 2.0624,                0.53449,                 0.7482,                0.63588,                0.24809,                 1.9131,                 1.7828,                 2.1215,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.9732,                 1.8242,                  2.085,                0.52963,                0.79137,                0.66629,                0.27216,                 1.8756,                 1.7275,                 2.0773,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.9175,                 1.7165,                  2.036,                0.58963,                0.81295,                0.68894,                  0.276,                 1.8771,                 1.6151,                 2.0732,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.8994,                 1.7131,                 2.0365,                0.55565,                0.78417,                0.63451,                0.26497,                 1.9125,                  1.579,                 2.0915,               0.000218,               0.000218,               0.000218
                     47,                 1.8891,                 1.6663,                 2.0442,                0.58219,                0.74101,                0.70066,                0.28379,                 1.8942,                 1.5613,                 2.0764,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.8488,                 1.6416,                 1.9726,                0.64209,                 0.7554,                0.74921,                0.31336,                 1.8407,                 1.5721,                 2.0439,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.9072,                 1.6804,                 2.0953,                0.67021,                0.76028,                0.73213,                 0.3104,                 1.8239,                 1.5825,                  2.041,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.8761,                 1.6124,                 2.0071,                0.68883,                0.78417,                0.74261,                0.31313,                 1.8143,                 1.5626,                 2.0318,               5.96e-05,               5.96e-05,               5.96e-05
